"inquiries_type_id","inquiries_type_name","inquiries_type_sort","inquiries_type_manual","inquiries_type_locked","inquiries_type_realestate","inquiries_type_rentals","site_id"
"1","General Inquiry","5","1","1","0","0","0"
"6","CMA Inquiry","0","1","1","1","0","0"
"7","Mortgage Quote Request","0","1","1","1","0","0"
"9","Real Estate Property","0","1","1","1","0","0"
"10","Real Estate Pop Up","0","1","1","1","0","0"
"11","Rental Inquiry","0","1","1","0","1","0"
"13","New User Registration","0","0","1","0","0","0"
"14","Saved Search","0","0","0","1","0","0"
"15","Phone Call","0","0","1","0","0","0"
"16","Agent Inquiry","0","1","1","1","0","0"
